,date,id,return,isign,year,month,day
0,2001-01-31,IBM,0.317647,POS,2001,1,31
1,2001-02-28,IBM,-0.106875,NEG,2001,2,28
2,2001-03-30,IBM,-0.037237,NEG,2001,3,30
3,2001-04-30,IBM,0.19713,POS,2001,4,30
4,2001-05-31,IBM,-0.027792,NEG,2001,5,31
5,2001-06-29,IBM,0.010732999999999998,POS,2001,6,29
6,2001-07-31,IBM,-0.068938,NEG,2001,7,31
7,2001-08-31,IBM,-0.04866500000000001,NEG,2001,8,31
8,2001-09-28,IBM,-0.082341,NEG,2001,9,28
9,2001-10-31,IBM,0.17826,POS,2001,10,31
10,2001-11-30,IBM,0.07088,POS,2001,11,30
11,2001-12-31,IBM,0.04645699999999999,POS,2001,12,31
12,2002-01-31,IBM,-0.108052,NEG,2002,1,31
13,2002-02-28,IBM,-0.08925800000000002,NEG,2002,2,28
14,2002-03-28,IBM,0.059927,POS,2002,3,28
15,2002-04-30,IBM,-0.194615,NEG,2002,4,30
16,2002-05-31,IBM,-0.037727,NEG,2002,5,31
17,2002-06-28,IBM,-0.10503400000000002,NEG,2002,6,28
18,2002-07-31,IBM,-0.022222000000000006,NEG,2002,7,31
19,2002-08-30,IBM,0.07286900000000002,POS,2002,8,30
20,2002-09-30,IBM,-0.22645299999999996,NEG,2002,9,30
21,2002-10-31,IBM,0.3537989999999999,POS,2002,10,31
22,2002-11-29,IBM,0.10298999999999998,POS,2002,11,29
23,2002-12-31,IBM,-0.108375,NEG,2002,12,31
24,2003-01-31,IBM,0.009032,POS,2003,1,31
25,2003-02-28,IBM,-0.001279,NEG,2003,2,28
26,2003-03-31,IBM,0.006158000000000002,POS,2003,3,31
27,2003-04-30,IBM,0.08249400000000001,POS,2003,4,30
28,2003-05-30,IBM,0.038869,POS,2003,5,30
29,2003-06-30,IBM,-0.062926,NEG,2003,6,30
30,2003-07-31,IBM,-0.015152,NEG,2003,7,31
31,2003-08-29,IBM,0.011323,POS,2003,8,29
32,2003-09-30,IBM,0.07706400000000002,POS,2003,9,30
33,2003-10-31,IBM,0.013019,POS,2003,10,31
34,2003-11-28,IBM,0.013634000000000002,POS,2003,11,28
35,2003-12-31,IBM,0.023636,POS,2003,12,31
36,2004-01-30,IBM,0.070673,POS,2004,1,30
37,2004-02-27,IBM,-0.025899,NEG,2004,2,27
38,2004-03-31,IBM,-0.04829,NEG,2004,3,31
39,2004-04-30,IBM,-0.039961,NEG,2004,4,30
40,2004-05-28,IBM,0.006805,POS,2004,5,28
41,2004-06-30,IBM,-0.004966999999999999,NEG,2004,6,30
42,2004-07-30,IBM,-0.012252,NEG,2004,7,30
43,2004-08-31,IBM,-0.025267,NEG,2004,8,31
44,2004-09-30,IBM,0.012398,POS,2004,9,30
45,2004-10-29,IBM,0.046769,POS,2004,10,29
46,2004-11-30,IBM,0.052033,POS,2004,11,30
47,2004-12-31,IBM,0.04605299999999999,POS,2004,12,31
48,2005-01-31,IBM,-0.05234300000000001,NEG,2005,1,31
49,2005-02-28,IBM,-0.007065,NEG,2005,2,28
50,2005-03-31,IBM,-0.012961999999999998,NEG,2005,3,31
51,2005-04-29,IBM,-0.16414999999999996,NEG,2005,4,29
52,2005-05-31,IBM,-0.008248,NEG,2005,5,31
53,2005-06-30,IBM,-0.017869,NEG,2005,6,30
54,2005-07-29,IBM,0.124798,POS,2005,7,29
55,2005-08-31,IBM,-0.031632,NEG,2005,8,31
56,2005-09-30,IBM,-0.004962,NEG,2005,9,30
57,2005-10-31,IBM,0.020693,POS,2005,10,31
58,2005-11-30,IBM,0.088178,POS,2005,11,30
59,2005-12-30,IBM,-0.075366,NEG,2005,12,30
60,2006-01-31,IBM,-0.010948999999999999,NEG,2006,1,31
61,2006-02-28,IBM,-0.010578000000000002,NEG,2006,2,28
62,2006-03-31,IBM,0.027792,POS,2006,3,31
63,2006-04-28,IBM,-0.0015759999999999995,NEG,2006,4,28
64,2006-05-31,IBM,-0.025990000000000003,NEG,2006,5,31
65,2006-06-30,IBM,-0.038548,NEG,2006,6,30
66,2006-07-31,IBM,0.00768,POS,2006,7,31
67,2006-08-31,IBM,0.049864,POS,2006,8,31
68,2006-09-29,IBM,0.01198,POS,2006,9,29
69,2006-10-31,IBM,0.1268,POS,2006,10,31
70,2006-11-30,IBM,-0.001191,NEG,2006,11,30
71,2006-12-29,IBM,0.05689700000000001,POS,2006,12,29
72,2007-01-31,IBM,0.020587,POS,2007,1,31
73,2007-02-28,IBM,-0.059606999999999986,NEG,2007,2,28
74,2007-03-30,IBM,0.014203,POS,2007,3,30
75,2007-04-30,IBM,0.084341,POS,2007,4,30
76,2007-05-31,IBM,0.04686400000000001,POS,2007,5,31
77,2007-06-29,IBM,-0.012664,NEG,2007,6,29
78,2007-07-31,IBM,0.05130599999999999,POS,2007,7,31
79,2007-08-31,IBM,0.058202,POS,2007,8,31
80,2007-09-28,IBM,0.009512,POS,2007,9,28
81,2007-10-31,IBM,-0.014261,NEG,2007,10,31
82,2007-11-30,IBM,-0.09076800000000002,NEG,2007,11,30
83,2007-12-31,IBM,0.027761999999999995,POS,2007,12,31
84,2008-01-31,IBM,-0.009158,NEG,2008,1,31
85,2008-02-29,IBM,0.066754,POS,2008,2,29
86,2008-03-31,IBM,0.011242000000000002,POS,2008,3,31
87,2008-04-30,IBM,0.048289,POS,2008,4,30
88,2008-05-30,IBM,0.076471,POS,2008,5,30
89,2008-06-30,IBM,-0.084215,NEG,2008,6,30
90,2008-07-31,IBM,0.079727,POS,2008,7,31
91,2008-08-29,IBM,-0.044929,NEG,2008,8,29
92,2008-09-30,IBM,-0.039185,NEG,2008,9,30
